stationid	new_part	shahrestan	subbasin_i	Longitude	Latitude	new_elevation
19858	1	373	245	55.335833	28.5625	1547
19859	1	203	437	57.7	28.333333	577
19863	1	212	438	57.85	28.48	607
19865	1	0	179	51.27	28.88	48
19880	1	0	179	51.48	28.83	793
19888	2	203	284	57.22	28.08	646
19891	1	207	436	58	28.02	481
19893	2	0	241	56.26	28.01	1169
19894	2	379	191	52.309506	28.489478	402
19899	2	0	239	55.93	27.97	784
19905	1	385	234	55.421111	27.864722	705
19908	1	133	454	60.76774216	27.83396912	1204
19912	2	213	283	57.23	27.74	467
19915	2	0	237	54.13	27.7	992
19921	1	133	454	61.02931595	27.65956879	1279
19922	1	215	448	57.87	27.52	406
19923	2	0	279	57.5	27.43	346
19924	1	389	256	52.847222	27.5625	446
19926	1	155	272	56.17222222	27.39972222	1615
19942	1	140	595	62.00501251	27.28708649	1150
19947	1	132	452	60.49876022	27.19998741	524
19974	2	0	0	61.25666046	26.63982391	892
19975	1	139	306	61.266667	26.633333	890
19980	1	141	296	59.65509033	26.58208275	739
19992	1	142	304	60.73606491	26.22292137	486
19996	1	150	302	61.41649628	25.69983673	33
19998	1	143	294	59.40163422	25.59650612	26
21002	2	0	368	51.47	35.95	2497
21006	2	0	368	51.62	35.82	1712
21007	2	121	498	52.52	35.8	2175
21009	2	0	367	52.07	35.77	2796
21013	2	0	367	52.07	35.72	1981
21016	2	0	365	51.38	35.72	1278
21017	2	64	365	50.85	35.7	1176
21021	2	67	497	52.72	35.65	2146
21023	2	70	365	51.07	35.63	1126
21024	1	0	497	52.47	35.6	1866
21029	2	0	365	51.37	35.57	1041
21034	2	4	365	51.37	35.5	976
21036	2	0	365	51.1	35.47	1013
21042	1	0	366	51.67	35.25	859
21043	1	67	366	51.63	35.22	834
21584	2	20	309	45.23	37.4	1284
21643	1	248	605	59.84611111	35.695	1415
21756	2	428	53	47.00333333	35.03166667	1535
22178	2	172	63	46.53333333	33.03333333	299
22643	2	0	120	50.79777778	31.5175	1565
40700	2	323	0	47.882232	39.606328	71
40701	2	29	10	44.392309	39.379448	1412
40702	2	350	4	45.607162	38.932012	731
40703	2	24	8	44.996037	38.558066	1104
40704	2	346	3	47.051562	38.489398	1394
40705	2	320	1	47.678609	38.375278	1545
40706	2	349	326	46.233863	38.122457	1345
40707	2	345	326	46.156989	37.923825	1694
40708	2	315	2	48.328915	38.218656	1344
40709	2	393	13	48.854131	38.364774	-26
40710	2	352	329	47.507862	37.935131	1674
40711	2	355	4	47.032649	38.868694	1214
40712	2	20	309	45.055995	37.658142	1326
40713	2	348	322	46.146128	37.347714	1343
40714	2	324	0	48.0574	39.050881	750
40715	2	9	19	47.683211	36.740181	1279
40716	2	359	17	47.732029	37.421049	1108
40717	2	317	16	48.538371	37.608734	1800
40718	2	396	39	49.45788	37.479641	-21
40719	2	397	14	49.623682	37.322696	-9
40720	2	399	25	49.409994	36.728364	340
40721	2	417	37	55.943371	37.800884	461
40722	2	26	308	44.848903	38.215666	1342
40723	2	236	41	57.297865	37.487024	1068
40724	2	34	46	45.146096	36.697504	1432
40725	2	25	45	45.486103	36.149093	1552
40726	2	30	316	45.715296	36.752925	1351
40727	2	66	321	46.311024	36.220988	1527
40728	2	23	320	47.098605	36.395027	1813
40729	2	6	18	48.521816	36.659805	1669
40730	2	5	339	49.211048	36.1953	1585
40731	2	121	338	50.044794	36.244955	1285
40732	2	0	27	50.684051	36.904539	-20
40733	2	4	20	48.589254	36.143882	1898
40734	2	112	28	51.46634	36.661393	-18
40735	2	114	27	51.303208	36.231132	1852
40736	2	96	29	52.642456	36.698542	-18
40737	2	111	28	52.771839	36.487085	18
40738	2	420	33	54.413112	36.904918	-11
40739	1	127	541	54.929238	36.380083	1323
40740	2	263	42	58.45182	37.117594	1299
40741	1	260	599	61.148936	36.536811	269
40742	1	127	524	55.805409	36.085706	1100
40743	1	259	527	57.649462	36.207351	965
40744	2	266	602	59.247458	36.55865	1160
40745	2	266	602	59.631722	36.236659	986
40746	1	268	530	58.819766	36.207072	1210
40747	2	67	52	47.014521	35.254937	1367
40748	2	62	23	47.620666	35.886582	1885
40749	2	64	23	46.913643	36.059916	2128
40750	2	70	51	46.151774	35.496697	1291
40751	2	39	365	51.484809	35.798948	1552
40752	2	313	365	50.95374	35.806487	1297
40753	2	39	365	51.47583333	35.70222222	1212
40754	2	39	365	51.309061	35.693417	1191
40755	2	51	367	51.986999	35.770995	2464
40756	2	45	498	52.736007	35.751435	1977
40757	1	126	496	53.421577	35.587859	1127
40758	1	131	497	52.359515	35.242892	885
40759	2	101	30	52.998259	36.53562	13
40760	2	101	31	53.546048	36.247746	1277
40761	1	124	539	54.322498	36.149725	1156
40762	1	249	520	59.205875	35.331513	1450
40763	1	264	521	58.47325	35.270544	1103
40764	2	225	90	46.649779	34.721455	1371
40765	2	226	59	45.826474	34.473433	519
40766	2	230	88	47.153403	34.351533	1313
40767	2	428	348	48.69027778	35.19527778	1678
